t,R_c
0.000000000000000000e+00,5.302120848339336029e-02
9.862383194558788091e-07,5.302120848339336029e-02
1.954287199623649940e-06,5.302120848339336029e-02
2.959883431685739197e-06,5.302120848339336029e-02
3.996442046627635136e-06,5.302120848339336029e-02
4.940621693094726652e-06,5.302120848339336029e-02
5.966603566776029766e-06,5.302120848339336029e-02
6.948347618163097650e-06,5.302120848339336029e-02
7.973825631779618561e-06,6.302521008403361158e-02
8.981266546470578760e-06,6.302521008403361158e-02
9.980066351999994367e-06,6.302521008403361158e-02
1.096839423553319648e-05,6.502601040416167155e-02
1.199216876557329670e-05,7.102841136454582371e-02
1.298862662224564701e-05,7.503001200480192978e-02
1.399157918058335781e-05,7.703081232492997588e-02
1.495855030952952802e-05,8.203281312525009805e-02
1.596909351064823568e-05,8.703481392557023411e-02
1.697268999123480171e-05,9.203681472589035628e-02
1.796382093743886799e-05,9.703881552621049233e-02
1.898620575957465917e-05,1.010404161664665845e-01
1.998705920414067805e-05,1.050420168067226906e-01
2.096445859933737665e-05,1.050420168067226906e-01
2.196778768848162144e-05,1.070428171268507506e-01
2.299646621395368129e-05,1.110444177671068428e-01
2.399400000285822898e-05,1.150460184073629488e-01
2.495632725185714662e-05,1.190476190476190549e-01
2.599183972051832825e-05,1.230492196878751610e-01
2.697502713999710977e-05,1.260504201680672232e-01
2.796311491692904383e-05,1.300520208083233431e-01
2.895606849051546305e-05,1.340536214485794353e-01
2.995590693899430335e-05,1.390556222488995575e-01
3.096440195804461837e-05,1.560624249699880117e-01
3.198337071808055043e-05,1.560624249699880117e-01
3.295335045550018549e-05,1.570628251300520140e-01
3.399697743589058518e-05,1.580632252901160439e-01
3.499262311379425228e-05,1.580632252901160439e-01
3.593901783460751176e-05,1.580632252901160439e-01
3.696396015584468842e-05,1.580632252901160439e-01
3.794094664044678211e-05,1.590636254501800739e-01
3.893493340001441538e-05,1.600640256102441039e-01
3.994720827904529870e-05,1.620648259303721639e-01
4.097908458788879216e-05,1.640656262505001961e-01
4.196104782749898732e-05,1.670668267306922861e-01
4.296240877010859549e-05,1.700680272108843483e-01
4.398431701702065766e-05,1.720688275310124082e-01
4.495258326642215252e-05,1.750700280112044982e-01
4.594029451254755259e-05,1.930772308923569547e-01
4.694814924732781947e-05,1.930772308923569547e-01
4.797677684109658003e-05,1.950780312124850147e-01
4.894482117379084229e-05,2.150860344137655034e-01
4.992612230125814676e-05,2.170868347338935633e-01
5.091946513857692480e-05,2.170868347338935633e-01
5.192500248085707426e-05,2.190876350540216233e-01
5.294290531310252845e-05,2.190876350540216233e-01
5.397336644819006324e-05,2.200880352140856533e-01
5.492918353411369026e-05,2.200880352140856533e-01
5.598361167358234525e-05,2.210884353741496555e-01
5.695941945305094123e-05,2.210884353741496555e-01
5.794414028059691191e-05,2.210884353741496555e-01
5.893790876143611968e-05,2.210884353741496555e-01
5.994086677674204111e-05,2.210884353741496555e-01
6.095312710385769606e-05,2.230892356942777155e-01
6.197477341629564762e-05,2.230892356942777155e-01
6.291176396189257503e-05,2.230892356942777155e-01
6.395155651262030005e-05,2.230892356942777155e-01
6.490515806945040822e-05,2.230892356942777155e-01
6.596055754926055670e-05,2.240896358543417455e-01
6.692454189760610461e-05,2.460984393757503219e-01
6.798983667977154255e-05,2.460984393757503219e-01
6.896267586853355169e-05,2.470988395358143241e-01
6.993966962909325957e-05,2.490996398559423841e-01
7.092077430570498109e-05,2.490996398559423841e-01
7.190596807049587369e-05,2.511004401760704163e-01
7.299443677766248584e-05,2.561024409763905663e-01
7.398836896754801273e-05,2.741096438575430505e-01
7.498658669646829367e-05,2.741096438575430505e-01
7.598916272399947047e-05,2.761104441776710550e-01
7.699616980971768498e-05,2.781112444977991149e-01
7.790629024384543300e-05,2.801120448179271749e-01
7.892178109614178538e-05,2.801120448179271749e-01
7.994176849024370313e-05,2.801120448179271749e-01
8.096625242615118623e-05,2.801120448179271749e-01
8.199523290386423469e-05,2.821128451380552349e-01
8.292517304653301835e-05,2.831132452981192649e-01
8.396275370614603162e-05,2.851140456182473248e-01
8.490049367537721992e-05,2.851140456182473248e-01
8.594682731200009584e-05,2.861144457783113548e-01
8.699775935383513570e-05,2.861144457783113548e-01
8.794754830887541175e-05,2.861144457783113548e-01
8.890116441762074828e-05,2.861144457783113548e-01
8.996534597827121615e-05,2.861144457783113548e-01
9.092735126614570618e-05,2.861144457783113548e-01
9.189344564219936728e-05,3.001200480192077191e-01
9.297173528466373682e-05,3.001200480192077191e-01
9.394656808581203222e-05,3.001200480192077191e-01
9.492557001067325473e-05,3.001200480192077191e-01
9.590871923137456179e-05,3.021208483393357236e-01
9.689600847195833921e-05,3.021208483393357236e-01
9.799787221709266305e-05,3.041216486594637836e-01
9.899394353851675987e-05,3.061224489795918435e-01
9.999422036344185472e-05,3.081232492997199035e-01
1.009987463476136327e-04,3.081232492997199035e-01
1.018952898448333144e-04,3.101240496198479635e-01
1.029080594889819622e-04,3.161264505802320879e-01
1.039253329508937895e-04,3.181272509003601479e-01
1.049472266458906233e-04,3.221288515406162678e-01
1.059738497133366764e-04,3.391356542617047221e-01
1.068904603016562760e-04,3.391356542617047221e-01
1.079262656276114285e-04,3.391356542617047221e-01
1.089670258807018399e-04,3.391356542617047221e-01
1.098963257391005754e-04,3.411364545818327265e-01
1.109464938053861260e-04,3.411364545818327265e-01
1.118841755669564009e-04,3.411364545818327265e-01
1.129437878262251616e-04,3.411364545818327265e-01
1.138898733188398182e-04,3.431372549019607865e-01
1.149589807027950883e-04,3.431372549019607865e-01
1.159135572379454970e-04,3.441376550620248165e-01
1.169922907138243318e-04,3.451380552220888465e-01
1.179555110866203904e-04,3.471388555422169064e-01
1.189228496514260769e-04,3.471388555422169064e-01
1.198943500639870763e-04,3.471388555422169064e-01
1.209923357237130404e-04,3.511404561824730264e-01
1.219728801515884697e-04,3.531412565026010308e-01
1.229577901540324092e-04,3.531412565026010308e-01
1.239471457665786147e-04,3.551420568227290908e-01
1.249410270247608423e-04,3.551420568227290908e-01
1.259395503439009190e-04,3.551420568227290908e-01
1.269427448278293014e-04,3.551420568227290908e-01
1.279506977880373597e-04,3.551420568227290908e-01
1.289634528802707791e-04,3.571428571428571508e-01
1.299810683121904731e-04,3.571428571428571508e-01
1.308755017817020416e-04,3.591436574629852108e-01
1.319032890023663640e-04,3.611444577831132707e-01
1.329371152678504586e-04,3.681472589035614251e-01
1.339739683317020535e-04,3.701480592236894851e-01
1.348835357930511236e-04,3.701480592236894851e-01
1.359257585136219859e-04,3.741496598639456050e-01
1.369709061691537499e-04,3.741496598639456050e-01
1.378878368996083736e-04,3.761504601840736650e-01
1.389386161463335156e-04,3.771508603441376950e-01
1.399925386067479849e-04,3.791516606642656995e-01
1.409174001310020685e-04,3.851540616246498794e-01
1.419775217073038220e-04,3.891556622649059993e-01
1.429079566150903702e-04,3.891556622649059993e-01
1.439746556570753455e-04,3.911564625850340038e-01
1.449110277462750673e-04,3.911564625850340038e-01
1.459846826037392020e-04,3.971588635454181837e-01
1.469273120164871216e-04,3.971588635454181837e-01
1.478729536756873131e-04,3.971588635454181837e-01
1.489574933657422662e-04,4.021608643457383336e-01
1.499111094744876027e-04,4.021608643457383336e-01
1.508717687102034688e-04,4.021608643457383336e-01
1.519796205684542656e-04,4.021608643457383336e-01
1.529586588731035590e-04,4.051620648259303681e-01
1.539481891086325049e-04,4.051620648259303681e-01
1.549490261822938919e-04,4.081632653061224580e-01
1.559619850013405085e-04,4.081632653061224580e-01
1.569879241287708282e-04,4.101640656262505180e-01
1.578782539581879973e-04,4.101640656262505180e-01
1.589304883964359760e-04,4.111644657863145480e-01
1.599980460014194250e-04,4.131652661064426080e-01
1.609258470125496387e-04,4.161664665866346979e-01
1.618659152882173657e-04,4.161664665866346979e-01
1.629785983823239803e-04,4.191676670668267324e-01
1.639454567339271307e-04,4.191676670668267324e-01
1.649246405577287078e-04,4.211684673869547924e-01
1.659166591707617044e-04,4.211684673869547924e-01
1.669220364419743419e-04,4.241696678671468823e-01
1.679413981037214398e-04,4.261704681872749423e-01
1.689753844402730465e-04,4.281712685074030023e-01
1.698487321846187115e-04,4.281712685074030023e-01
1.709089556243270636e-04,4.281712685074030023e-01
1.719739520922303200e-04,4.311724689875950367e-01
1.728645875118672848e-04,4.311724689875950367e-01
1.739384315442293882e-04,4.341736694677871267e-01
1.748399226926267147e-04,4.371748699479792166e-01
1.759300794219598174e-04,4.371748699479792166e-01
1.768457586877048016e-04,4.401760704281713066e-01
1.779535232344642282e-04,4.401760704281713066e-01
1.788843364920467138e-04,4.401760704281713066e-01
1.798223966034129262e-04,4.461784713885554310e-01
1.809599343687295914e-04,4.461784713885554310e-01
1.819187455112114549e-04,4.461784713885554310e-01
1.828878739615902305e-04,4.481792717086834910e-01
1.838677853811532259e-04,4.481792717086834910e-01
1.848589308792725205e-04,4.561824729891956753e-01
1.858617906691506505e-04,4.561824729891956753e-01
1.868768449639901519e-04,4.561824729891956753e-01
1.879046030808240175e-04,4.591836734693877653e-01
1.889456034405156970e-04,4.611844737895158253e-01
1.897883339552208781e-04,4.611844737895158253e-01
1.908546400954946876e-04,4.631852741096438852e-01
1.919358619488775730e-04,4.661864745898359752e-01
