t,P_p_bar
0.000000000000000000e+00,0.000000000000000000e+00
9.862383194558788091e-07,7.317672789287618399e+08
1.954287199623649940e-06,1.485258577297781706e+09
2.959883431685739197e-06,2.273358771442748070e+09
3.996442046627635136e-06,3.091492626712862015e+09
4.940621693094726652e-06,3.830063242580950737e+09
5.966603566776029766e-06,4.636469216968615532e+09
6.948347618163097650e-06,5.400416414646609306e+09
7.973825631779618561e-06,4.082210823122343540e+09
8.981266546470578760e-06,3.404803100541557312e+09
9.980066351999994367e-06,3.052399422200237274e+09
1.096839423553319648e-05,2.756247894482836723e+09
1.199216876557329670e-05,2.293464642698892593e+09
1.298862662224564701e-05,2.061547016700263023e+09
1.399157918058335781e-05,1.888940119165274858e+09
1.495855030952952802e-05,1.649758719802106380e+09
1.596909351064823568e-05,1.433776324140657663e+09
1.697268999123480171e-05,1.238680953619106531e+09
1.796382093743886799e-05,1.054939571920625329e+09
1.898620575957465917e-05,8.892639105209838152e+08
1.998705920414067805e-05,7.198747500346429348e+08
2.096445859933737665e-05,5.635376136753770113e+08
2.196778768848162144e-05,4.213890614046615958e+08
2.299646621395368129e-05,3.165664127635102868e+08
2.399400000285822898e-05,2.472886612048510015e+08
2.495632725185714662e-05,1.978589832741685212e+08
2.599183972051832825e-05,1.573894911379541755e+08
2.697502713999710977e-05,1.280560426478503793e+08
2.796311491692904383e-05,1.037559740108562410e+08
2.895606849051546305e-05,8.454101122733657062e+07
2.995590693899430335e-05,6.890977410746297240e+07
3.096440195804461837e-05,5.239762955434884876e+07
3.198337071808055043e-05,4.517401939157306403e+07
3.295335045550018549e-05,3.945805039310234040e+07
3.399697743589058518e-05,3.458180139154415578e+07
3.499262311379425228e-05,3.103490772776912153e+07
3.593901783460751176e-05,2.826221993655890599e+07
3.696396015584468842e-05,2.575356225594446436e+07
3.794094664044678211e-05,2.357389406323342398e+07
3.893493340001441538e-05,2.165687735412858799e+07
3.994720827904529870e-05,1.982693420280539989e+07
4.097908458788879216e-05,1.818652428997776285e+07
4.196104782749898732e-05,1.668186101370133646e+07
4.296240877010859549e-05,1.531530996612273157e+07
4.398431701702065766e-05,1.415336489556788839e+07
4.495258326642215252e-05,1.307559469238139503e+07
4.594029451254755259e-05,1.116422395391695574e+07
4.694814924732781947e-05,1.049746286336186901e+07
4.797677684109658003e-05,9.773256285994475707e+06
4.894482117379084229e-05,8.397995365952214226e+06
4.992612230125814676e-05,7.872232580153210089e+06
5.091946513857692480e-05,7.451122097517356277e+06
5.192500248085707426e-05,6.994475430375907570e+06
5.294290531310252845e-05,6.628439295892469585e+06
5.397336644819006324e-05,6.257253722417389974e+06
5.492918353411369026e-05,5.961403903139917180e+06
5.598361167358234525e-05,5.631725173422486521e+06
5.695941945305094123e-05,5.367840199195483699e+06
5.794414028059691191e-05,5.115159413382914849e+06
5.893790876143611968e-05,4.873852299439805560e+06
5.994086677674204111e-05,4.644977471935882233e+06
6.095312710385769606e-05,4.390533190304047428e+06
6.197477341629564762e-05,4.187147879132826347e+06
6.291176396189257503e-05,4.011772843344530091e+06
6.395155651262030005e-05,3.828645680148318876e+06
6.490515806945040822e-05,3.670476477169843856e+06
6.596055754926055670e-05,3.490940679521211889e+06
6.692454189760610461e-05,3.071476852896633558e+06
6.798983667977154255e-05,2.937439406795458868e+06
6.896267586853355169e-05,2.811134748910803348e+06
6.993966962909325957e-05,2.681208230456583202e+06
7.092077430570498109e-05,2.576685221237486228e+06
7.190596807049587369e-05,2.459219625143700279e+06
7.299443677766248584e-05,2.314429488366683945e+06
7.398836896754801273e-05,2.094591485278703040e+06
7.498658669646829367e-05,2.016313372459894745e+06
7.598916272399947047e-05,1.928678834482090082e+06
7.699616980971768498e-05,1.845432427835018374e+06
7.790629024384543300e-05,1.773063036866871640e+06
7.892178109614178538e-05,1.708576044905452989e+06
7.994176849024370313e-05,1.646956009136291454e+06
8.096625242615118623e-05,1.588053049978492549e+06
8.199523290386423469e-05,1.522571912387336837e+06
8.292517304653301835e-05,1.470029475377324969e+06
8.396275370614603162e-05,1.410631289549578447e+06
8.490049367537721992e-05,1.366800041477514198e+06
8.594682731200009584e-05,1.316319316029167036e+06
8.699775935383513570e-05,1.271679667257550405e+06
8.794754830887541175e-05,1.233073313004879747e+06
8.890116441762074828e-05,1.195871500196908833e+06
8.996534597827121615e-05,1.156072870276857633e+06
9.092735126614570618e-05,1.121540947611893527e+06
9.189344564219936728e-05,1.050087891664693132e+06
9.297173528466373682e-05,1.016306715062077157e+06
9.394656808581203222e-05,9.868891749846196035e+05
9.492557001067325473e-05,9.583692668548042420e+05
9.590871923137456179e-05,9.264329786992735462e+05
9.689600847195833921e-05,8.999558362731086090e+05
9.799787221709266305e-05,8.677040991020696238e+05
9.899394353851675987e-05,8.395655731604341418e+05
9.999422036344185472e-05,8.125928953523986274e+05
1.009987463476136327e-04,7.899824493259491865e+05
1.018952898448333144e-04,7.674063337508472614e+05
1.029080594889819622e-04,7.376242057321206667e+05
1.039253329508937895e-04,7.148769964770228835e+05
1.049472266458906233e-04,6.904623584142860491e+05
1.059738497133366764e-04,6.508609537228830159e+05
1.068904603016562760e-04,6.360892288513124222e+05
1.079262656276114285e-04,6.198817039407957345e+05
1.089670258807018399e-04,6.041202889423426241e+05
1.098963257391005754e-04,5.884478847341083456e+05
1.109464938053861260e-04,5.736203711719831917e+05
1.118841755669564009e-04,5.607543031895286404e+05
1.129437878262251616e-04,5.466025651581775164e+05
1.138898733188398182e-04,5.327917817520124372e+05
1.149589807027950883e-04,5.193800410202023922e+05
1.159135572379454970e-04,5.070607099766644533e+05
1.169922907138243318e-04,4.936918985362243257e+05
1.179555110866203904e-04,4.815365900213301647e+05
1.189228496514260769e-04,4.708018377822679467e+05
1.198943500639870763e-04,4.602843026844654232e+05
1.209923357237130404e-04,4.470540105913210427e+05
1.219728801515884697e-04,4.364494367773824488e+05
1.229577901540324092e-04,4.268934257929397281e+05
1.239471457665786147e-04,4.169737967386532691e+05
1.249410270247608423e-04,4.078939262970078271e+05
1.259395503439009190e-04,3.989875553226603079e+05
1.269427448278293014e-04,3.902450170518651721e+05
1.279506977880373597e-04,3.816429351791538065e+05
1.289634528802707791e-04,3.730801311651170836e+05
1.299810683121904731e-04,3.648274205482454272e+05
1.308755017817020416e-04,3.577759430025835172e+05
1.319032890023663640e-04,3.499496076059040497e+05
1.329371152678504586e-04,3.424098252403594670e+05
1.339739683317020535e-04,3.351351718704038067e+05
1.348835357930511236e-04,3.289032524759778171e+05
1.359257585136219859e-04,3.220990625853900565e+05
1.369709061691537499e-04,3.153182058977210545e+05
1.378878368996083736e-04,3.096456623126209597e+05
1.389386161463335156e-04,3.032088788225143217e+05
1.399925386067479849e-04,2.970456136227993411e+05
1.409174001310020685e-04,2.922771659948212327e+05
1.419775217073038220e-04,2.866671476087556221e+05
1.429079566150903702e-04,2.816465582226874540e+05
1.439746556570753455e-04,2.762699748281736393e+05
1.449110277462750673e-04,2.714369837276589824e+05
1.459846826037392020e-04,2.670794791233798605e+05
1.469273120164871216e-04,2.625777231010176474e+05
1.478729536756873131e-04,2.581244585867542773e+05
1.489574933657422662e-04,2.541709858718721953e+05
1.499111094744876027e-04,2.499919559791363718e+05
1.508717687102034688e-04,2.458335303502783936e+05
1.519796205684542656e-04,2.410995247606294870e+05
1.529586588731035590e-04,2.378491053745826357e+05
1.539481891086325049e-04,2.338432232463495748e+05
1.549490261822938919e-04,2.307660182761218166e+05
1.559619850013405085e-04,2.268568784683814738e+05
1.569879241287708282e-04,2.236040786301674962e+05
1.578782539581879973e-04,2.202779248190610961e+05
1.589304883964359760e-04,2.167525102760759182e+05
1.599980460014194250e-04,2.136268298782375350e+05
1.609258470125496387e-04,2.114391518869374704e+05
1.618659152882173657e-04,2.081701385129180562e+05
1.629785983823239803e-04,2.054991716497792222e+05
1.639454567339271307e-04,2.022425949288347038e+05
1.649246405577287078e-04,1.997864247803209291e+05
1.659166591707617044e-04,1.965161102593545220e+05
1.669220364419743419e-04,1.945385372342492337e+05
1.679413981037214398e-04,1.921518405611046473e+05
1.689753844402730465e-04,1.898028860110908863e+05
1.698487321846187115e-04,1.871434549620053149e+05
1.709089556243270636e-04,1.839218580959239625e+05
1.719739520922303200e-04,1.822582946473445045e+05
1.728645875118672848e-04,1.796439724373020581e+05
1.739384315442293882e-04,1.781050235023522400e+05
1.748399226926267147e-04,1.770865369506651768e+05
1.759300794219598174e-04,1.740931010599970177e+05
1.768457586877048016e-04,1.731385348332710564e+05
1.779535232344642282e-04,1.702007190224768710e+05
1.788843364920467138e-04,1.677310237402637140e+05
1.798223966034129262e-04,1.684283084789430432e+05
1.809599343687295914e-04,1.656035324548928766e+05
1.819187455112114549e-04,1.632127195119957032e+05
1.828878739615902305e-04,1.618919338293416949e+05
1.838677853811532259e-04,1.594960227038855664e+05
1.848589308792725205e-04,1.612202786105682317e+05
1.858617906691506505e-04,1.589832287588286272e+05
1.868768449639901519e-04,1.567101234434462094e+05
1.879046030808240175e-04,1.559235091927493922e+05
1.889456034405156970e-04,1.546382427484031068e+05
1.897883339552208781e-04,1.528370537130461598e+05
1.908546400954946876e-04,1.515756721055643575e+05
1.919358619488775730e-04,1.508077472508056671e+05
1.928120327647775412e-04,1.490202488163761154e+05
1.939218200277537107e-04,1.478182012724557426e+05
1.948218123288825154e-04,1.465587745469735237e+05
1.959626679308712482e-04,1.453843663931071933e+05
1.968885771930217743e-04,1.441266225619709585e+05
1.978267537197098136e-04,1.423079232018459006e+05
1.987776631722226739e-04,1.404485063497842930e+05
1.999842497752979398e-04,1.398590885330423771e+05
2.009571035159751773e-04,1.397056978314782609e+05
2.019335515797138214e-04,1.379011746505727060e+05
2.029134484473615885e-04,1.360740922139293689e+05
2.038968814304098487e-04,1.359985513425144891e+05
2.048840979114174843e-04,1.347881445453400083e+05
2.058764948742464185e-04,1.341528593783756078e+05
2.068745670840144157e-04,1.323812883594897867e+05
2.078785473713651299e-04,1.323475727959164069e+05
2.088886394631117582e-04,1.317284614840724389e+05
2.099058037856593728e-04,1.299991484624505974e+05
2.109311608364805579e-04,1.305122460570052790e+05
2.119651908287778497e-04,1.288210642326577945e+05
2.127476618625223637e-04,1.275299298080360313e+05
2.138011623173952103e-04,1.275008105763025233e+05
2.148668572772294283e-04,1.257828081688566017e+05
2.159452851628884673e-04,1.240266191747373377e+05
2.167628263123333454e-04,1.238906939528743678e+05
2.178649447159841657e-04,1.232966238488198724e+05
2.189813967561349273e-04,1.215276634953913454e+05
2.198285219492390752e-04,1.201718328540605289e+05
2.209715603385120630e-04,1.201870051054260548e+05
2.218393201474100351e-04,1.188285227594044991e+05
2.227163786301389337e-04,1.193046109520396130e+05
2.239007153548300266e-04,1.181264712555711012e+05
2.248005475848913193e-04,1.167540565798234311e+05
2.257106243632733822e-04,1.166483232306609425e+05
2.269404940307140350e-04,1.178765081294761039e+05
2.278756146552041173e-04,1.165493958854797820e+05
2.288219984620809555e-04,1.169737845565749740e+05
2.297799364896491170e-04,1.173459705215228896e+05
2.307471731910482049e-04,1.160545080598987115e+05
2.317175094503909349e-04,1.147458575161371991e+05
2.326908143004402518e-04,1.140106745677461586e+05
2.339933416806161404e-04,1.145563196376731212e+05
2.349739370401948690e-04,1.132876068279298343e+05
2.359576610615476966e-04,1.136908943916207500e+05
2.369445865042507648e-04,1.124451381759759679e+05
2.379347715759649873e-04,1.117540782377214928e+05
2.389283035881817341e-04,1.121607502762357472e+05
2.399252989562228322e-04,1.109371923540908756e+05
2.409258304396644235e-04,1.096954516466934292e+05
2.419299999019131064e-04,1.084354101115645608e+05
2.429378946544602513e-04,1.094735531748523499e+05
2.439496311126276851e-04,1.082501847211089480e+05
2.449660678394138813e-04,1.070074227170920494e+05
2.459877287037670612e-04,1.063412754279243381e+05
2.466725127305835485e-04,1.066723649763837457e+05
2.477056696079671383e-04,1.071276876430108678e+05
2.487464225850999355e-04,1.059146092293949478e+05
2.497962268535047770e-04,1.046757370168836787e+05
2.508558682166039944e-04,1.034096990603343293e+05
2.519257250241935253e-04,1.021165039294552116e+05
2.526448515709489584e-04,1.012395410011430358e+05
2.537326945457607508e-04,1.042355251903169992e+05
2.548318880144506693e-04,1.030029276394892368e+05
2.559428685344755650e-04,1.017416849489304004e+05
2.566902840044349432e-04,1.008847393863072648e+05
2.578218991402536631e-04,9.957538857311828178e+04
2.589665527921169996e-04,1.001451064208125899e+05
2.597371349111199379e-04,9.927483910328258935e+04
2.609046059660613537e-04,9.794555215489270631e+04
2.616909041535109282e-04,9.769297833344747778e+04
2.628827060107141733e-04,9.633124233391509915e+04
2.636857097968459129e-04,9.800232529265615449e+04
2.649033849593251944e-04,9.666183543756969448e+04
