t,r_c
1.099459755789838201e-22,5.000000000000000278e-02
9.479141854674516853e-08,5.030918139470422212e-02
1.874455755250402445e-07,5.061836278940844147e-02
2.781082908601247259e-07,5.092754418411266082e-02
3.669064752105881858e-07,5.123672557881688017e-02
4.539574260223475911e-07,5.154590697352109951e-02
5.393691940867060309e-07,5.185508836822531886e-02
6.232409665752992435e-07,5.216426976292953127e-02
7.056632145696519373e-07,5.247345115763375062e-02
7.867200512255011539e-07,5.278263255233796997e-02
8.664893774636589419e-07,5.309181394704218931e-02
9.450432732391997866e-07,5.340099534174640866e-02
1.022448304630406642e-06,5.371017673645062801e-02
1.098766637656498777e-06,5.401935813115484736e-02
1.174055089467714380e-06,5.432853952585906671e-02
1.248367614526768547e-06,5.463772092056328605e-02
1.321754280107950486e-06,5.494690231526750540e-02
1.394261574855945518e-06,5.525608370997172475e-02
1.465933156874807593e-06,5.556526510467594410e-02
1.536809273185937197e-06,5.587444649938015651e-02
1.606928350443590255e-06,5.618362789408437585e-02
1.676325758429659998e-06,5.649280928878859520e-02
1.745035055265854866e-06,5.680199068349281455e-02
1.813087450484127669e-06,5.711117207819703390e-02
1.880512274167455329e-06,5.742035347290125324e-02
1.947337149554272897e-06,5.772953486760547259e-02
2.013587766799693086e-06,5.803871626230969194e-02
2.079288550607197594e-06,5.834789765701391129e-02
2.144462130188373375e-06,5.865707905171813064e-02
2.209130017389513704e-06,5.896626044642234998e-02
2.273312241884435959e-06,5.927544184112656933e-02
2.337027720572802217e-06,5.958462323583078868e-02
2.400294306678782146e-06,5.989380463053500803e-02
2.463128752447286633e-06,6.020298602523922737e-02
2.525546719982309578e-06,6.051216741994343978e-02
2.587562961849645844e-06,6.082134881464765913e-02
2.649191553705261379e-06,6.113053020935187848e-02
2.710445580197968628e-06,6.143971160405609783e-02
2.771337293175295281e-06,6.174889299876031717e-02
2.831878359832809041e-06,6.205807439346453652e-02
2.892079710270564876e-06,6.236725578816875587e-02
2.951951617671225332e-06,6.267643718287296828e-02
3.011503808312899619e-06,6.298561857757718763e-02
3.070745429739321306e-06,6.329479997228140697e-02
3.129685104689319267e-06,6.360398136698562632e-02
3.188330996158864658e-06,6.391316276168984567e-02
3.246690810863829707e-06,6.422234415639406502e-02
3.304771843616745581e-06,6.453152555109828437e-02
3.362581025350391581e-06,6.484070694580250371e-02
3.420124843019309910e-06,6.514988834050672306e-02
3.477409448025047523e-06,6.545906973521094241e-02
3.534440735047641424e-06,6.576825112991516176e-02
3.591224339498242471e-06,6.607743252461938110e-02
3.647765660488701574e-06,6.638661391932360045e-02
3.704069689253976778e-06,6.669579531402781980e-02
3.760141218505314045e-06,6.700497670873203915e-02
3.815984895677447128e-06,6.731415810343625850e-02
3.871605201422002865e-06,6.762333949814047784e-02
3.927006455841276580e-06,6.793252089284469719e-02
3.982192643843333383e-06,6.824170228754891654e-02
4.037167650695061086e-06,6.855088368225313589e-02
4.091935265889374505e-06,6.886006507695735523e-02
4.146499168176594907e-06,6.916924647166156070e-02
4.200862920235587016e-06,6.947842786636579393e-02
4.255029846267248189e-06,6.978760926106999940e-02
4.309003223322734902e-06,7.009679065577423263e-02
4.362786259382265328e-06,7.040597205047843810e-02
4.416382089583263829e-06,7.071515344518267132e-02
4.469793761722423908e-06,7.102433483988687679e-02
4.523024152329274832e-06,7.133351623459109614e-02
4.576076118987428749e-06,7.164269762929531549e-02
4.628952468462690067e-06,7.195187902399953483e-02
4.681655957536391032e-06,7.226106041870375418e-02
4.734189270504214747e-06,7.257024181340797353e-02
4.786554964834401725e-06,7.287942320811219288e-02
4.838755590133532411e-06,7.318860460281641223e-02
4.890793653815338237e-06,7.349778599752063157e-02
4.942671623192116600e-06,7.380696739222485092e-02
4.994391908643489093e-06,7.411614878692907027e-02
5.045956846853444988e-06,7.442533018163328962e-02
5.097368757045360051e-06,7.473451157633750896e-02
5.148629919769471766e-06,7.504369297104172831e-02
5.199742576715682516e-06,7.535287436574594766e-02
5.250708930298892061e-06,7.566205576045016701e-02
5.301531148661581749e-06,7.597123715515438636e-02
5.352211360030561687e-06,7.628041854985860570e-02
5.402751646539618754e-06,7.658959994456282505e-02
5.453154042926886649e-06,7.689878133926703052e-02
5.503420531954937053e-06,7.720796273397126375e-02
5.553553053073987824e-06,7.751714412867546922e-02
5.603553616640253889e-06,7.782632552337970244e-02
5.653424165187369872e-06,7.813550691808390791e-02
5.703166590539294039e-06,7.844468831278814114e-02
5.752782751203199823e-06,7.875386970749234661e-02
5.802274471431099696e-06,7.906305110219656596e-02
5.851643549549882265e-06,7.937223249690078530e-02
5.900891775225778360e-06,7.968141389160500465e-02
5.950020895410874383e-06,7.999059528630922400e-02
5.999032626390001129e-06,8.029977668101344335e-02
6.047928654384977441e-06,8.060895807571766269e-02
6.096710635096753335e-06,8.091813947042188204e-02
6.145380204038882453e-06,8.122732086512610139e-02
6.193938974046424425e-06,8.153650225983032074e-02
6.242388524700569120e-06,8.184568365453454009e-02
6.290730408198813827e-06,8.215486504923875943e-02
6.338966149333270748e-06,8.246404644394297878e-02
6.387097246080519562e-06,8.277322783864719813e-02
6.435125179418931889e-06,8.308240923335141748e-02
6.483051404039726830e-06,8.339159062805563682e-02
6.530877348400162936e-06,8.370077202275985617e-02
6.578604417192065814e-06,8.400995341746406164e-02
6.626233991774916067e-06,8.431913481216829487e-02
6.673767428748852046e-06,8.462831620687250034e-02
6.721206054117745478e-06,8.493749760157673356e-02
6.768551172756772474e-06,8.524667899628093903e-02
6.815804065567957463e-06,8.555586039098517226e-02
6.862965988932302962e-06,8.586504178568937773e-02
6.910038174623207563e-06,8.617422318039361095e-02
6.957021838699771471e-06,8.648340457509781642e-02
7.003918181616428828e-06,8.679258596980204965e-02
7.050728372911028089e-06,8.710176736450625512e-02
7.097453559631471542e-06,8.741094875921048835e-02
7.144094866472426418e-06,8.772013015391469382e-02
7.190653395855328005e-06,8.802931154861891316e-02
7.237130227993554596e-06,8.833849294332313251e-02
7.283526420942872538e-06,8.864767433802735186e-02
7.329843012558909041e-06,8.895685573273157121e-02
7.376081029821275620e-06,8.926603712743579055e-02
7.422241473836532119e-06,8.957521852214000990e-02
7.468325324211551658e-06,8.988439991684422925e-02
7.514333540583035123e-06,9.019358131154844860e-02
7.560267062831831681e-06,9.050276270625266795e-02
7.606126811295245896e-06,9.081194410095688729e-02
7.651913686977295865e-06,9.112112549566110664e-02
7.697628571813264483e-06,9.143030689036532599e-02
7.743272334124822013e-06,9.173948828506953146e-02
7.788845824818893738e-06,9.204866967977376468e-02
7.834349874911748776e-06,9.235785107447797015e-02
7.879785298293136248e-06,9.266703246918220338e-02
7.925152892066812853e-06,9.297621386388640885e-02
7.970453436896449096e-06,9.328539525859064208e-02
8.015687697356744783e-06,9.359457665329484755e-02
8.060856422289926543e-06,9.390375804799908077e-02
8.105960344050187671e-06,9.421293944270328624e-02
8.151000176978015767e-06,9.452212083740751947e-02
8.195976622217941653e-06,9.483130223211172494e-02
8.240890366211664370e-06,9.514048362681595816e-02
8.285742080862306116e-06,9.544966502152016363e-02
8.330532423845485093e-06,9.575884641622438298e-02
8.375262038921735142e-06,9.606802781092860233e-02
8.419931556250402597e-06,9.637720920563282168e-02
8.464541592599065021e-06,9.668639060033704102e-02
8.509092750019284974e-06,9.699557199504126037e-02
8.553585618109959982e-06,9.730475338974547972e-02
8.598020774265525203e-06,9.761393478444969907e-02
8.642398783533446920e-06,9.792311617915391841e-02
8.686720198896789340e-06,9.823229757385813776e-02
8.730985561556195247e-06,9.854147896856235711e-02
8.775195401211258495e-06,9.885066036326657646e-02
8.819350236341301873e-06,9.915984175797079581e-02
8.863450575459397526e-06,9.946902315267501515e-02
8.907496917535961357e-06,9.977820454737923450e-02
8.951489750474693417e-06,1.000873859420834400e-01
8.995429552388568674e-06,1.003965673367876732e-01
9.039316791924641950e-06,1.007057487314918787e-01
9.083151928582361220e-06,1.010149301261961119e-01
9.126935413033258163e-06,1.013241115209003174e-01
9.170667687442115963e-06,1.016332929156045506e-01
9.214349185062153618e-06,1.019424743103087561e-01
9.257980326651517539e-06,1.022516557050129893e-01
9.301561526913015545e-06,1.025608370997171948e-01
9.345093193141235842e-06,1.028700184944214280e-01
9.388575724866571264e-06,1.031791998891256334e-01
