t,R_s
0.000000000000000000e+00,-2.734404094568550214e-03
9.862383194558788091e-07,6.882928261868922343e-03
1.954287199623649940e-06,1.575570223806696882e-02
2.959883431685739197e-06,2.393192410475585355e-02
3.996442046627635136e-06,3.145960013266583394e-02
4.940621693094726652e-06,3.838673659252717779e-02
5.966603566776029766e-06,4.476133975507014945e-02
6.948347618163097650e-06,5.063141589102499590e-02
7.973825631779618561e-06,5.604497127112198496e-02
8.981266546470578760e-06,6.105001216609138442e-02
9.980066351999994367e-06,6.569454484666345517e-02
1.096839423553319648e-05,7.002657558356845113e-02
1.199216876557329670e-05,7.409411064753665399e-02
1.298862662224564701e-05,7.794515630929829686e-02
1.399157918058335781e-05,8.162771883958364061e-02
1.495855030952952802e-05,8.518980450911985136e-02
1.596909351064823568e-05,8.911816319206097847e-02
1.697268999123480171e-05,9.323852910564238428e-02
1.796382093743886799e-05,9.746784748887578342e-02
1.898620575957465917e-05,1.017712171328197801e-01
1.998705920414067805e-05,1.061208182332456368e-01
2.096445859933737665e-05,1.104548402433034177e-01
2.196778768848162144e-05,1.148310471928643550e-01
2.299646621395368129e-05,1.191597075679253354e-01
2.399400000285822898e-05,1.237944869524264802e-01
2.495632725185714662e-05,1.280495007184747625e-01
2.599183972051832825e-05,1.320622292804221887e-01
2.697502713999710977e-05,1.357901842099922263e-01
2.796311491692904383e-05,1.392946702394124714e-01
2.895606849051546305e-05,1.419808493728111076e-01
2.995590693899430335e-05,1.446757285177139862e-01
3.096440195804461837e-05,1.475106171500805696e-01
3.198337071808055043e-05,1.503587581255524941e-01
3.295335045550018549e-05,1.531511583296424894e-01
3.399697743589058518e-05,1.559059259258304686e-01
3.499262311379425228e-05,1.589736916103223485e-01
3.593901783460751176e-05,1.620281037887844611e-01
3.696396015584468842e-05,1.649872204923977792e-01
3.794094664044678211e-05,1.680194779904014002e-01
3.893493340001441538e-05,1.710909867030986631e-01
3.994720827904529870e-05,1.742276443391532759e-01
4.097908458788879216e-05,1.773458903229546968e-01
4.196104782749898732e-05,1.804219513672529751e-01
4.296240877010859549e-05,1.834350890725321981e-01
4.398431701702065766e-05,1.866670421834356608e-01
4.495258326642215252e-05,1.906309090528650607e-01
4.594029451254755259e-05,1.945615944830689226e-01
4.694814924732781947e-05,1.983070505985719545e-01
4.797677684109658003e-05,2.020437055396462067e-01
4.894482117379084229e-05,2.057189545855684365e-01
4.992612230125814676e-05,2.091960254624578297e-01
5.091946513857692480e-05,2.125297484753760902e-01
5.192500248085707426e-05,2.156751061229349731e-01
5.294290531310252845e-05,2.186418100458833447e-01
5.397336644819006324e-05,2.213818078550989499e-01
5.492918353411369026e-05,2.238617157855073703e-01
5.598361167358234525e-05,2.262173956446690559e-01
5.695941945305094123e-05,2.282365064541257427e-01
5.794414028059691191e-05,2.299981576208113832e-01
5.893790876143611968e-05,2.315971388049525015e-01
5.994086677674204111e-05,2.337858998387419840e-01
6.095312710385769606e-05,2.359057689209688446e-01
6.197477341629564762e-05,2.379952891258552417e-01
6.291176396189257503e-05,2.401497559282500804e-01
6.395155651262030005e-05,2.423589518727821690e-01
6.490515806945040822e-05,2.449385052837914634e-01
6.596055754926055670e-05,2.476739507614060809e-01
6.692454189760610461e-05,2.505004428710417841e-01
6.798983667977154255e-05,2.534098885787413047e-01
6.896267586853355169e-05,2.562806900492940465e-01
6.993966962909325957e-05,2.591438031375872253e-01
7.092077430570498109e-05,2.619724196686367690e-01
7.190596807049587369e-05,2.647230395849214935e-01
7.299443677766248584e-05,2.673668314529680790e-01
7.398836896754801273e-05,2.698328800627243784e-01
7.498658669646829367e-05,2.721617517469020475e-01
7.598916272399947047e-05,2.744497536095946710e-01
7.699616980971768498e-05,2.767374519835138491e-01
7.790629024384543300e-05,2.790987969664457946e-01
7.892178109614178538e-05,2.813740523006554306e-01
7.994176849024370313e-05,2.836489029831671949e-01
8.096625242615118623e-05,2.859279013455821583e-01
8.199523290386423469e-05,2.882166113487460435e-01
8.292517304653301835e-05,2.904648561821227548e-01
8.396275370614603162e-05,2.926792114358026109e-01
8.490049367537721992e-05,2.948095002992496827e-01
8.594682731200009584e-05,2.969591112812700606e-01
8.699775935383513570e-05,2.991189397186617138e-01
8.794754830887541175e-05,3.012398204301331983e-01
8.890116441762074828e-05,3.033860930356461760e-01
8.996534597827121615e-05,3.055096039831538546e-01
9.092735126614570618e-05,3.076600242685699205e-01
9.189344564219936728e-05,3.098469643697190357e-01
9.297173528466373682e-05,3.119832218457097017e-01
9.394656808581203222e-05,3.141194793217002568e-01
9.492557001067325473e-05,3.164042439708099619e-01
9.590871923137456179e-05,3.186955842100099856e-01
