t,P_c,u_c,R_c
0.000000e+00,-0.000000e+00,0.000000e+00,1.043476e-01
4.999980e-05,9.325961e+06,-1.687115e+02,1.043476e-01
9.999866e-05,6.144041e+05,-3.920259e+02,1.043476e-01
1.499977e-04,8.476064e+04,-4.316369e+02,1.043476e-01
1.999908e-04,3.579120e+04,-2.124779e+02,1.043476e-01
2.499885e-04,1.988829e+04,-1.476155e+02,1.043476e-01
2.999975e-04,1.304544e+04,-1.172792e+02,1.043476e-01
3.499770e-04,9.427399e+03,-9.932478e+01,1.043476e-01
3.999808e-04,7.238524e+03,-8.726378e+01,1.043476e-01
4.499777e-04,5.794102e+03,-7.852179e+01,1.043476e-01
4.999696e-04,4.780549e+03,-7.184373e+01,1.043476e-01
5.499753e-04,4.036552e+03,-6.654890e+01,1.043476e-01
5.999854e-04,3.471343e+03,-6.223331e+01,1.043476e-01
6.499572e-04,3.030161e+03,-5.864053e+01,1.043476e-01
6.999559e-04,2.677438e+03,-5.559225e+01,1.043476e-01
7.499891e-04,2.390033e+03,-5.296671e+01,1.043476e-01
7.999508e-04,2.152468e+03,-5.067972e+01,1.043476e-01
8.499987e-04,1.952781e+03,-4.865956e+01,1.043476e-01
8.999803e-04,1.783411e+03,-4.686250e+01,1.043476e-01
9.499910e-04,1.637928e+03,-4.524591e+01,1.043476e-01
9.999899e-04,1.512028e+03,-4.378364e+01,1.043476e-01
1.049964e-03,1.402357e+03,-4.245308e+01,1.043476e-01
1.099933e-03,1.306258e+03,-4.124383e+01,1.043476e-01
1.149945e-03,1.220646e+03,-4.013597e+01,1.043476e-01
1.199934e-03,1.144207e+03,-3.911517e+01,1.043476e-01
1.249994e-03,1.075519e+03,-3.816796e+01,1.043476e-01
1.299943e-03,1.013802e+03,-3.728857e+01,1.043476e-01
1.349984e-03,9.578986e+02,-3.646656e+01,1.043476e-01
1.399951e-03,9.072091e+02,-3.569814e+01,1.043476e-01
1.449919e-03,8.610024e+02,-3.497676e+01,1.043476e-01
1.499981e-03,8.186885e+02,-3.429680e+01,1.043476e-01
1.549986e-03,7.799274e+02,-3.365626e+01,1.043476e-01
1.599953e-03,7.442940e+02,-3.305099e+01,1.043476e-01
1.649998e-03,7.113757e+02,-3.247673e+01,1.043476e-01
1.699978e-03,6.809624e+02,-3.193221e+01,1.043476e-01
1.749930e-03,6.527765e+02,-3.141461e+01,1.043476e-01
1.799989e-03,6.265235e+02,-3.092037e+01,1.043476e-01
1.849920e-03,6.021294e+02,-3.044991e+01,1.043476e-01
1.899966e-03,5.793064e+02,-2.999932e+01,1.043476e-01
1.949992e-03,5.579714e+02,-2.956832e+01,1.043476e-01
1.999957e-03,5.380006e+02,-2.915580e+01,1.043476e-01
2.049927e-03,5.192546e+02,-2.876004e+01,1.043476e-01
2.099970e-03,5.016050e+02,-2.837935e+01,1.043476e-01
2.149951e-03,4.850045e+02,-2.801382e+01,1.043476e-01
2.199943e-03,4.693458e+02,-2.766190e+01,1.043476e-01
2.249916e-03,4.545631e+02,-2.732302e+01,1.043476e-01
2.299953e-03,4.405647e+02,-2.699579e+01,1.043476e-01
2.349914e-03,4.273279e+02,-2.668036e+01,1.043476e-01
2.399885e-03,4.147756e+02,-2.637565e+01,1.043476e-01
2.449958e-03,4.028328e+02,-2.608038e+01,1.043476e-01
2.499994e-03,3.914904e+02,-2.579474e+01,1.043476e-01
2.549968e-03,3.807082e+02,-2.551826e+01,1.043476e-01
2.599978e-03,3.704244e+02,-2.524946e+01,1.043476e-01
2.649880e-03,3.606365e+02,-2.498843e+01,1.043476e-01
2.699897e-03,3.512859e+02,-2.473458e+01,1.043476e-01
2.749888e-03,3.423780e+02,-2.448880e+01,1.043476e-01
2.799961e-03,3.338653e+02,-2.425026e+01,1.043476e-01
2.849971e-03,3.257402e+02,-2.401918e+01,1.043476e-01
2.899899e-03,3.179737e+02,-2.379512e+01,1.043476e-01
2.949987e-03,3.105054e+02,-2.357650e+01,1.043476e-01
2.999960e-03,3.033553e+02,-2.336420e+01,1.043476e-01
3.049932e-03,2.964861e+02,-2.315742e+01,1.043476e-01
3.099889e-03,2.898840e+02,-2.295594e+01,1.043476e-01
3.149950e-03,2.835211e+02,-2.275904e+01,1.043476e-01
3.199969e-03,2.774026e+02,-2.256713e+01,1.043476e-01
3.249930e-03,2.715156e+02,-2.238008e+01,1.043476e-01
3.299959e-03,2.658363e+02,-2.219723e+01,1.043476e-01
3.349902e-03,2.603714e+02,-2.201903e+01,1.043476e-01
3.399889e-03,2.550948e+02,-2.184482e+01,1.043476e-01
3.449907e-03,2.499999e+02,-2.167450e+01,1.043476e-01
3.499946e-03,2.450779e+02,-2.150800e+01,1.043476e-01
3.549997e-03,2.403202e+02,-2.134495e+01,1.043476e-01
3.599897e-03,2.357310e+02,-2.118557e+01,1.043476e-01
3.649935e-03,2.312790e+02,-2.102882e+01,1.043476e-01
3.699951e-03,2.269741e+02,-2.087526e+01,1.043476e-01
3.749934e-03,2.228120e+02,-2.072496e+01,1.043476e-01
3.799876e-03,2.187904e+02,-2.057795e+01,1.043476e-01
3.849919e-03,2.148940e+02,-2.043385e+01,1.043476e-01
3.899903e-03,2.111276e+02,-2.029301e+01,1.043476e-01
3.949973e-03,2.074748e+02,-2.015501e+01,1.043476e-01
