t,R_s,D_s
0.000000e+00,2.043614e-03,7.343462e+03
4.999980e-05,3.692153e-01,5.853138e+03
9.999866e-05,5.873523e-01,4.222681e+03
1.499977e-04,7.914745e-01,3.977910e+03
1.999908e-04,9.851134e-01,3.752830e+03
2.499885e-04,1.166722e+00,3.544331e+03
2.999975e-04,1.339568e+00,3.323573e+03
3.499770e-04,1.499049e+00,3.151432e+03
3.999808e-04,1.654657e+00,2.974742e+03
4.499777e-04,1.796527e+00,2.811094e+03
4.999696e-04,1.935735e+00,2.756072e+03
5.499753e-04,2.072126e+00,2.669628e+03
5.999854e-04,2.202739e+00,2.544051e+03
6.499572e-04,2.326491e+00,2.430427e+03
6.999559e-04,2.445708e+00,2.352288e+03
7.499891e-04,2.561792e+00,2.245227e+03
7.999508e-04,2.670230e+00,2.193924e+03
8.499987e-04,2.781210e+00,2.132568e+03
8.999803e-04,2.883561e+00,2.026202e+03
9.499910e-04,2.983813e+00,1.993343e+03
9.999899e-04,3.082915e+00,1.967167e+03
1.049964e-03,3.180479e+00,1.936049e+03
1.099933e-03,3.276410e+00,1.874959e+03
1.149945e-03,3.367934e+00,1.795601e+03
1.199934e-03,3.455973e+00,1.751680e+03
1.249994e-03,3.543187e+00,1.734662e+03
1.299943e-03,3.629457e+00,1.685453e+03
1.349984e-03,3.711707e+00,1.626250e+03
1.399951e-03,3.792097e+00,1.597379e+03
1.449919e-03,3.871342e+00,1.574773e+03
1.499981e-03,3.949620e+00,1.550843e+03
1.549986e-03,4.026532e+00,1.515530e+03
1.599953e-03,4.101132e+00,1.444958e+03
1.649998e-03,4.171037e+00,1.442531e+03
1.699978e-03,4.245416e+00,1.445435e+03
1.749930e-03,4.315483e+00,1.390470e+03
1.799989e-03,4.384476e+00,1.358520e+03
1.849920e-03,4.451328e+00,1.351335e+03
1.899966e-03,4.519581e+00,1.320824e+03
1.949992e-03,4.583507e+00,1.268981e+03
1.999957e-03,4.646470e+00,1.283389e+03
2.049927e-03,4.711762e+00,1.279533e+03
2.099970e-03,4.774435e+00,1.236448e+03
2.149951e-03,4.835440e+00,1.210198e+03
2.199943e-03,4.895422e+00,1.191113e+03
2.249916e-03,4.954510e+00,1.173302e+03
2.299953e-03,5.012763e+00,1.153407e+03
2.349914e-03,5.069849e+00,1.127034e+03
2.399885e-03,5.125389e+00,1.094704e+03
2.449958e-03,5.179364e+00,1.100102e+03
2.499994e-03,5.235518e+00,1.110470e+03
2.549968e-03,5.290425e+00,1.072342e+03
2.599978e-03,5.342733e+00,1.041512e+03
2.649880e-03,5.394485e+00,1.047863e+03
2.699897e-03,5.447437e+00,1.014679e+03
2.749888e-03,5.495964e+00,1.008324e+03
2.799961e-03,5.548340e+00,9.983310e+02
2.849971e-03,5.595885e+00,9.828859e+02
2.899899e-03,5.646562e+00,9.707959e+02
2.949987e-03,5.692966e+00,9.562106e+02
2.999960e-03,5.742235e+00,9.542919e+02
3.049932e-03,5.788343e+00,9.125661e+02
3.099889e-03,5.833426e+00,9.250380e+02
3.149950e-03,5.880869e+00,9.198168e+02
3.199969e-03,5.925484e+00,8.799913e+02
3.249930e-03,5.968851e+00,8.747858e+02
3.299959e-03,6.012954e+00,8.838548e+02
3.349902e-03,6.057211e+00,8.717788e+02
3.399889e-03,6.100070e+00,8.481719e+02
3.449907e-03,6.142031e+00,8.324893e+02
3.499946e-03,6.183368e+00,8.214016e+02
3.549997e-03,6.224245e+00,8.127523e+02
3.599897e-03,6.264605e+00,8.045723e+02
3.649935e-03,6.304651e+00,7.963696e+02
3.699951e-03,6.344285e+00,7.884202e+02
3.749934e-03,6.383493e+00,7.804584e+02
3.799876e-03,6.422272e+00,7.724681e+02
3.849919e-03,6.460727e+00,7.644912e+02
3.899903e-03,6.498743e+00,7.560046e+02
3.949973e-03,6.536367e+00,7.445200e+02
3.999963e-03,6.573241e+00,7.263859e+02
4.049864e-03,6.608929e+00,7.056722e+02
4.099986e-03,6.643819e+00,7.056720e+02
4.149838e-03,6.679473e+00,7.194577e+02
4.199899e-03,6.715704e+00,7.263018e+02
4.249835e-03,6.752100e+00,7.302927e+02
4.299968e-03,6.788785e+00,7.332030e+02
4.349960e-03,6.825512e+00,7.359562e+02
4.399971e-03,6.862383e+00,7.266273e+02
4.449994e-03,6.898199e+00,7.109795e+02
4.499851e-03,6.933397e+00,7.083825e+02
4.549878e-03,6.968956e+00,7.101567e+02
4.599897e-03,7.004445e+00,7.062399e+02
4.649903e-03,7.039598e+00,-7.005801e+04
4.699889e-03,2.043614e-03,-7.037696e+04
4.749849e-03,2.043614e-03,3.897884e-08
4.799955e-03,2.043614e-03,4.365630e-07
4.849845e-03,2.043614e-03,-4.287672e-07
4.899871e-03,2.043614e-03,-2.034695e-06
4.949849e-03,2.043614e-03,4.209714e-07
4.999953e-03,2.043614e-03,-1.169365e-08
5.049999e-03,2.043614e-03,-1.169365e-06
5.099982e-03,2.043614e-03,-7.795767e-07
5.149895e-03,2.043614e-03,1.247323e-07
5.199919e-03,2.043614e-03,-1.870984e-07
5.249862e-03,2.043614e-03,-1.980125e-06
5.299908e-03,2.043614e-03,-1.590337e-06
5.349863e-03,2.043614e-03,-5.379080e-07
5.399914e-03,2.043614e-03,1.715069e-07
5.449863e-03,2.043614e-03,5.690910e-07
5.499899e-03,2.043614e-03,1.013450e-07
5.549823e-03,2.043614e-03,3.819926e-07
5.599826e-03,2.043614e-03,2.030797e-06
5.649904e-03,2.043614e-03,2.338730e-08
5.699856e-03,2.043614e-03,-1.235629e-06
5.749875e-03,2.043614e-03,5.418058e-07
5.799959e-03,2.043614e-03,8.341471e-07
5.849904e-03,2.043614e-03,-2.194509e-06
5.899907e-03,2.043614e-03,-1.278506e-06
5.949963e-03,2.043614e-03,-5.690910e-07
5.999867e-03,2.043614e-03,-5.145207e-07
6.049818e-03,2.043614e-03,-1.395442e-06
6.099814e-03,2.043614e-03,2.202304e-06
6.149850e-03,2.043614e-03,-2.572603e-07
6.199925e-03,2.043614e-03,6.548445e-07
6.249818e-03,2.043614e-03,-6.236614e-08
6.299901e-03,2.043614e-03,5.603208e-07
6.350004e-03,2.043614e-03,5.301122e-07
6.400001e-03,2.043614e-03,9.827539e-07
6.450005e-03,2.043614e-03,1.390570e-06
6.500000e-03,2.043614e-03,1.417368e-06
6.550005e-03,2.043614e-03,-7.659342e-07
6.599989e-03,2.043614e-03,-6.509466e-07
6.650003e-03,2.043614e-03,-2.230564e-06
6.700006e-03,2.043614e-03,1.679257e-06
6.750007e-03,2.043614e-03,-1.851617e-06
6.800007e-03,2.043614e-03,-1.055717e-06
6.850007e-03,2.043614e-03,5.313912e-07
6.900007e-03,2.043614e-03,2.921525e-06
6.950008e-03,2.043614e-03,0.000000e+00
7.000009e-03,2.043614e-03,5.384561e-07
7.050009e-03,2.043614e-03,5.313912e-07
7.100009e-03,2.043614e-03,0.000000e+00
7.150009e-03,2.043614e-03,-1.471421e-06
7.200008e-03,2.043614e-03,4.014820e-07
7.250009e-03,2.043614e-03,5.384561e-07
7.300009e-03,2.043614e-03,0.000000e+00
7.350010e-03,2.043614e-03,5.313912e-07
7.400010e-03,2.043614e-03,2.921525e-06
7.450011e-03,2.043614e-03,-4.014820e-07
7.500010e-03,2.043614e-03,1.471421e-06
7.550010e-03,2.043614e-03,2.921525e-06
7.600011e-03,2.043614e-03,-2.921525e-06
7.650011e-03,2.043614e-03,2.921525e-06
7.700012e-03,2.043614e-03,5.384561e-07
7.750012e-03,2.043614e-03,5.313912e-07
7.800012e-03,2.043614e-03,2.921525e-06
7.850013e-03,2.043614e-03,-2.921525e-06
7.900013e-03,2.043614e-03,0.000000e+00
7.950013e-03,2.043614e-03,1.041527e-06
8.000012e-03,2.043614e-03,-1.157184e-07
8.050012e-03,2.043614e-03,-2.921525e-06
8.100012e-03,2.043614e-03,0.000000e+00
8.150012e-03,2.043614e-03,0.000000e+00
8.200012e-03,2.043614e-03,2.921525e-06
8.250013e-03,2.043614e-03,-2.921525e-06
8.300013e-03,2.043614e-03,0.000000e+00
8.350013e-03,2.043614e-03,2.921525e-06
8.400014e-03,2.043614e-03,0.000000e+00
8.450015e-03,2.043614e-03,1.157184e-07
8.500014e-03,2.043614e-03,7.817693e-07
8.550015e-03,2.043614e-03,1.723595e-07
8.600015e-03,2.043614e-03,1.041527e-06
8.650014e-03,2.043614e-03,-1.041527e-06
8.700014e-03,2.043614e-03,2.921525e-06
8.750015e-03,2.043614e-03,0.000000e+00
8.800016e-03,2.043614e-03,-2.921525e-06
8.850016e-03,2.043614e-03,0.000000e+00
8.900016e-03,2.043614e-03,0.000000e+00
8.950016e-03,2.043614e-03,0.000000e+00
9.000015e-03,2.043614e-03,2.921525e-06
9.050016e-03,2.043614e-03,-2.921525e-06
9.100016e-03,2.043614e-03,-1.723595e-07
9.150018e-03,2.043614e-03,-7.817693e-07
9.200017e-03,2.043614e-03,-1.041527e-06
9.250017e-03,2.043614e-03,0.000000e+00
9.300017e-03,2.043614e-03,0.000000e+00
9.350017e-03,2.043614e-03,-1.723595e-07
9.400018e-03,2.043614e-03,-7.817693e-07
9.450017e-03,2.043614e-03,7.817693e-07
9.500019e-03,2.043614e-03,1.723595e-07
9.550019e-03,2.043614e-03,1.041527e-06
9.600018e-03,2.043614e-03,-1.041527e-06
9.650018e-03,2.043614e-03,0.000000e+00
9.700018e-03,2.043614e-03,0.000000e+00
9.750018e-03,2.043614e-03,0.000000e+00
9.800018e-03,2.043614e-03,-1.723595e-07
9.850020e-03,2.043614e-03,-7.817693e-07
9.900019e-03,2.043614e-03,-1.041527e-06
9.950018e-03,2.043614e-03,2.921525e-06
1.000002e-02,2.043614e-03,-1.098229e-06
1.005002e-02,2.043614e-03,1.723595e-07
1.010002e-02,2.043614e-03,1.041527e-06
1.015002e-02,2.043614e-03,0.000000e+00
1.020002e-02,2.043614e-03,7.817693e-07
1.025002e-02,2.043614e-03,-7.817693e-07
1.030002e-02,2.043614e-03,-1.041527e-06
1.035002e-02,2.043614e-03,-1.298970e-06
1.040002e-02,2.043614e-03,1.298970e-06
1.045002e-02,2.043614e-03,-1.936883e-06
1.050002e-02,2.043614e-03,1.936883e-06
1.055002e-02,2.043614e-03,2.921525e-06
1.060002e-02,2.043614e-03,1.766594e-06
1.065002e-02,2.043614e-03,3.447191e-07
1.070002e-02,2.043614e-03,-1.157184e-07
1.075002e-02,2.043614e-03,1.128681e-06
1.080002e-02,2.043614e-03,-1.128681e-06
1.085002e-02,2.043614e-03,-2.921525e-06
1.090002e-02,2.043614e-03,-1.723595e-07
1.095002e-02,2.043614e-03,-7.795767e-07
1.100002e-02,2.043614e-03,7.795767e-07
1.105002e-02,2.043614e-03,-7.817693e-07
1.110002e-02,2.043614e-03,-1.157184e-07
1.115002e-02,2.043614e-03,1.157184e-07
1.120002e-02,2.043614e-03,4.960057e-07
1.125003e-02,2.043614e-03,4.582450e-07
1.130003e-02,2.043614e-03,-1.936883e-06
1.135002e-02,2.043614e-03,1.936883e-06
1.140002e-02,2.043614e-03,2.921525e-06
1.145002e-02,2.043614e-03,1.157184e-07
1.150002e-02,2.043614e-03,0.000000e+00
1.155002e-02,2.043614e-03,1.308227e-06
1.160003e-02,2.043614e-03,-1.308227e-06
1.165003e-02,2.043614e-03,1.013145e-06
1.170002e-02,2.043614e-03,-1.358169e-06
1.175003e-02,2.043614e-03,3.469117e-07
1.180002e-02,2.043614e-03,-3.469117e-07
1.185003e-02,2.043614e-03,3.447191e-07
1.190003e-02,2.043614e-03,7.817693e-07
1.195003e-02,2.043614e-03,1.098229e-06
1.200003e-02,2.043614e-03,1.128681e-06
1.205003e-02,2.043614e-03,0.000000e+00
1.210002e-02,2.043614e-03,1.478760e-06
1.215003e-02,2.043614e-03,-4.960057e-07
1.220003e-02,2.043614e-03,1.013145e-06
1.225002e-02,2.043614e-03,-1.358169e-06
1.230003e-02,2.043614e-03,3.469117e-07
1.235002e-02,2.043614e-03,4.940568e-07
1.240003e-02,2.043614e-03,2.857636e-07
1.245003e-02,2.043614e-03,1.105050e-06
1.250003e-02,2.043614e-03,-9.323251e-07
1.255003e-02,2.043614e-03,3.544638e-07
1.260003e-02,2.043614e-03,-1.308227e-06
1.265003e-02,2.043614e-03,0.000000e+00
1.270003e-02,2.043614e-03,-1.041527e-06
1.275003e-02,2.043614e-03,2.921525e-06
1.280003e-02,2.043614e-03,-1.098229e-06
1.285003e-02,2.043614e-03,1.098229e-06
1.290003e-02,2.043614e-03,1.176674e-07
1.295003e-02,2.043614e-03,-1.997909e-06
1.300003e-02,2.043614e-03,0.000000e+00
1.305003e-02,2.043614e-03,-1.041527e-06
1.310003e-02,2.043614e-03,-1.298970e-06
